report_id,report_title,raw_variable_name,item_type,definition,measurement_method,unit,data_source_text,data_source_type,availability,temporal_coverage,geographic_coverage,evidence_chunk_id,evidence_quote,page_number,confidence_score,review_status,reason,model,prompt_version,batch_id
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Early-stage deals,codebook_variable,The early stage consists of seed to Series B venture rounds.,Deals classified by venture round stage from seed to Series B.,deal count or deal volume,PitchBook,private_database,private,2024,global,75385cda-4364-4084-afdf-5313d4b89b01,The early stage consists of seed to Series B venture rounds.,4,0.9,pending,Explicit definition of early-stage deals by venture round stages with data source PitchBook.,gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Late-stage deals,codebook_variable,The late stage consists of Series C and subsequent venture rounds.,Deals classified by venture round stage from Series C onwards.,deal count or deal volume,PitchBook,private_database,private,2024,global,75385cda-4364-4084-afdf-5313d4b89b01,The late stage consists of Series C and subsequent venture rounds.,4,0.9,pending,Explicit definition of late-stage deals by venture round stages with data source PitchBook.,gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Top 10 global startup ecosystems ranking,codebook_variable,Ranking of top 10 global startup ecosystems according to Startup Genome’s Global Startup Ecosystem Report 2024.,Ranking based on Startup Genome report 2024.,rank order,Startup Genome’s Global Startup Ecosystem Report 2024,public_dataset,obtainable,2024,global,75385cda-4364-4084-afdf-5313d4b89b01,The top 10 global startup ecosystems are in accordance with Startup Genome’s Global Startup Ecosystem Report 2024 and provides the following rankings: 1. Silicon Valley 2. London 3. New York City 4. Tel Aviv 5. Los Angeles 6. Boston 7. Singapore 8. Beijing 9. Seoul 10. Tokyo,4,0.95,pending,Explicit ranking list with source and year.,gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Deep tech definition,codebook_variable,Deep tech is characterised by three properties: 1. Possesses innovations/technologies 2. Has strong scientific technological foundations 3. Has proprietary research-based intellectual property (IP).,Classification of companies based on these three properties.,categorical classification,PitchBook methodology,private_database,private,2024,global,26ab324e-46b5-4f83-93a4-0c010f363397,Deep tech is characterised by three properties. 1. Possesses innovations/technologies 2. Has strong scientific technological foundations 3. Has proprietary research-based intellectual property (IP),3,0.9,pending,Explicit definition of deep tech with classification criteria from PitchBook methodology.,gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Venture funding deal value by top 10 global startup ecosystems,codebook_variable,Total venture funding deal value in USD for the top 10 global startup ecosystems in 9M 2024.,Sum of deal values in USD from PitchBook data for each ecosystem.,USD billion,PitchBook,private_database,private,9 months 2024,"global, top 10 ecosystems",c22bee49-a6d7-4281-80b6-ed8687f6ca12,VENTURE FUNDING DEAL ACTIVITY BY TOP 10 GLOBAL STARTUP ECOSYSTEMS* SHARE OF VENTURE FUNDING DEAL VALUE BY TOP 10 GLOBAL STARTUP ECOSYSTEMS* IN 9M24 ... Source of venture funding data: PitchBook. All monetary figures are in USD,9,0.9,pending,"Explicit metric with defined unit, source, and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Share of ASEAN VC deal volume (#),codebook_variable,Percentage share of venture capital deal volume by country within ASEAN-6 in 9M 2024.,Count of VC deals per country divided by total ASEAN-6 deals.,percentage (%),PitchBook,private_database,private,9 months 2024,"ASEAN-6 (Singapore, Indonesia, Malaysia, Philippines, Thailand, Vietnam)",89ee62e2-602c-427a-9cb9-d0a9e01ebed6,"SHARE OF ASEAN VC DEAL VOLUME (#) 9M2024 ... ASEAN 6 includes Singapore, Indonesia, Malaysia, the Philippines, Thailand and Vietnam",8,0.85,pending,"Explicit metric with defined unit, geographic and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
3ff158c7-fb0e-4780-b288-9518e7db3046,Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING LANDSCAPE 2024 A Nine-Month Report Powered by,Share of ASEAN VC deal value ($B),codebook_variable,Percentage share of venture capital deal value by country within ASEAN-6 in 9M 2024.,Sum of VC deal values per country divided by total ASEAN-6 deal value.,percentage (%),PitchBook,private_database,private,9 months 2024,"ASEAN-6 (Singapore, Indonesia, Malaysia, Philippines, Thailand, Vietnam)",89ee62e2-602c-427a-9cb9-d0a9e01ebed6,"SHARE OF ASEAN VC DEAL VALUE ($B) 9M2024 ... ASEAN 6 includes Singapore, Indonesia, Malaysia, the Philippines, Thailand and Vietnam",8,0.85,pending,"Explicit metric with defined unit, geographic and temporal coverage.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,"Total global funding activity (VC, PE and M&A) in wealthtech 2020-2023",codebook_variable,"Total global funding activity in wealthtech sector including venture capital, private equity, and mergers & acquisitions.",Aggregated deal value and deal count from PitchBook data as of 30 June 2023.,"USD billion for deal value, number of deals for deal count","Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Global,41a1d07b-b2ad-4275-82b4-5cfdd5c2c096,"Total global funding activity (VC, PE and M&A) in wealthtech 2020–2023*",22,0.95,pending,"Explicit definition, measurement method, unit, data source, temporal and geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,"Total global funding activity (VC, PE and M&A) in cybersecurity 2020-2023",codebook_variable,"Total global funding activity in cybersecurity sector including venture capital, private equity, and mergers & acquisitions.",Aggregated deal value and deal count from PitchBook data as of 30 June 2023.,"USD billion for deal value, number of deals for deal count","Source: Pulse of Fintech H1'23, Global Analysis of funding in Fintech, KPMG International (data provided by PitchBook), *as of 30 June 2023.",private_database,private,2020-2023 (up to 30 June 2023),Global,ec4ee280-bca3-405e-a028-c224df64a782,"Total global funding activity (VC, PE and M&A) in fintech: cybersecurity 2020–2023*",20,0.95,pending,"Explicit definition, measurement method, unit, data source, temporal and geographic coverage provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
a10bb353-69a7-490c-809d-d1292bd4700a,July 2023 kpmg.com/fintechpulse Global analysis of fintech funding,Total fintech funding in the Americas H2 2022 and H1 2023,codebook_variable,Total fintech funding amount and deal volume in the Americas region for H2 2022 and H1 2023.,Aggregated deal value and deal count from PitchBook data.,"USD billion for deal value, number of deals for deal count",Data provided by PitchBook,private_database,private,H2 2022 and H1 2023,Americas,017607e2-b1e7-46c0-9e9f-c9f3ded564ad,Total fintech funding in the Americas rose from $28.9 billion in H2’22 to $36 billion in H1’23,27,0.9,pending,"Explicit funding amounts, time periods, region, and data source provided.",gpt-4.1-mini,codebook_extraction_v1,12819b4b-6c04-4b21-bc04-c42e89187253
