query_id,query,query_type,find_data_ok,semantic_search_ok,variables_count,reports_count,sources_count,organizations_count,datasets_count,evidence_quote_count,source_url_count,private_count,obtainable_count,unclear_count,has_limited_results,failure_type,top_5_titles,final_answer_preview
1,startup funding in Singapore,factual,True,True,10,10,10,0,0,10,10,2,8,0,False,good,Median value of Seed rounds; Deal count per size of equity funding; IPO proceeds (USD Million); Deal value; Deal value by vertical under Smart Nation and Digital Economy theme,Found 10 relevant variable(s): Median value of Seed rounds; Deal count per size of equity funding; IPO proceeds (USD Million). Relevant reports: Singapore Venture Funding Landscape 2023 Nine-Month Rep
2,Singapore VC deal count by stage,factual,True,True,10,5,7,0,0,10,10,4,6,0,False,good,Early-stage deals; Late-stage deals; Deal count per size of equity funding; Deal volume; Share of ASEAN VC deal volume (#),Found 10 relevant variable(s): Early-stage deals; Late-stage deals; Deal count per size of equity funding. Relevant reports: Powered by 1 PITCHBOOK QUANTITATIVE PERSPECTIVES SINGAPORE VENTURE FUNDING 
3,Singapore median funding round value,factual,True,True,10,6,8,0,0,10,10,3,7,0,False,good,Median value of Seed rounds; Median value of Series B rounds; Median value of Series A rounds; Deal value; Deal value by vertical under Smart Nation and Digital Economy theme,Found 10 relevant variable(s): Median value of Seed rounds; Median value of Series B rounds; Median value of Series A rounds. Relevant reports: Key Insights into the Singapore Tech Ecosystem and Fundi
4,Singapore startup funding by year,factual,True,True,10,10,10,0,0,10,10,2,8,0,False,good,Deal count per size of equity funding; Median value of Seed rounds; IPO proceeds (USD Million); Median value of Series A rounds; Deal value by vertical under Smart Nation and Digital Economy theme,Found 10 relevant variable(s): Deal count per size of equity funding; Median value of Seed rounds; IPO proceeds (USD Million). Relevant reports: Key Insights into the Singapore Tech Ecosystem and Fund
5,Hong Kong innovation output,factual,True,True,0,0,10,10,0,0,0,0,0,0,False,unknown,,10 source link(s) available.
6,Shenzhen startup organizations,organization,True,True,0,0,10,10,0,0,0,0,0,0,False,good,,10 source link(s) available.
7,SME digital adoption,factual,True,True,10,1,10,4,0,10,10,0,10,0,False,good,Average cost savings per firm per PSG application; Digital adoption intensity among enterprises; Share of SMEs adopting at least one digital solution for general business functions; Share of nominal VA from digitalisation in the rest of the economy as % of GDP; Digital adoption rate among enterprises,Found 10 relevant variable(s): Average cost savings per firm per PSG application; Digital adoption intensity among enterprises; Share of SMEs adopting at least one digital solution for general busines
8,R&D expenditure as percentage of GDP,factual,True,True,10,1,10,0,0,10,10,0,10,0,False,good,gross expenditure on research and development as a percentage of GDP; Public expenditure on R&D target; business expenditure on R&D; value of equity investment into R&D-intensive businesses; Investment in Prosperity Partnerships,Found 10 relevant variable(s): gross expenditure on research and development as a percentage of GDP; Public expenditure on R&D target; business expenditure on R&D. Relevant reports: Research and devel
9,Asian startup exits,factual,True,True,2,9,10,1,0,2,2,2,0,0,False,private_data_only,IPO proceeds (USD Million); Number of IPOs; Fintech Singapore Report 2023 - Fintech Singapore; Singapore Venture Funding Landscape 2023 Nine-Month Report; Ecosystem Startup Genome | Building world-class startup ecosystems,Found 2 relevant variable(s): IPO proceeds (USD Million); Number of IPOs; Fintech Singapore Report 2023 - Fintech Singapore. Relevant reports: Fintech Singapore Report 2023 - Fintech Singapore; Singap
10,AI investment by country,factual,True,True,10,1,10,5,0,10,10,6,4,0,False,good,Age distribution of PE-backed portfolio companies; Investment in Higher Education Innovation Funding (HEIF); Share of insider-led VC deals YTD; Capital Invested by Sector; Number of IPOs,Found 10 relevant variable(s): Age distribution of PE-backed portfolio companies; Investment in Higher Education Innovation Funding (HEIF); Share of insider-led VC deals YTD. Relevant reports: Underst
11,public data on business births,factual,True,True,10,0,10,0,0,10,10,0,10,0,False,good,business expenditure on R&D; value of equity investment into R&D-intensive businesses; Registered charity status; Turnover growth in last 12 months; Exporting status,Found 10 relevant variable(s): business expenditure on R&D; value of equity investment into R&D-intensive businesses; Registered charity status. 10 source link(s) available. 10 variable(s) have public
12,government support for startups,factual,True,True,9,2,10,10,0,9,9,0,9,0,False,good,Top 10 global startup ecosystems ranking; Number of policy projects delivered by Open Innovation Team (OIT); Maximum government investment share in private VC funds; Seed stage investment size limit in High Tech Grunderfonds (HTGF); Southeast VC Deal Count,Found 9 relevant variable(s): Top 10 global startup ecosystems ranking; Number of policy projects delivered by Open Innovation Team (OIT); Maximum government investment share in private VC funds. Rele
13,VC funding by sector in Southeast Asia,factual,True,True,2,9,10,1,0,2,2,2,0,0,False,private_data_only,IPO proceeds (USD Million); Number of IPOs; Singapore Venture Funding Landscape 2023 Nine-Month Report; Southeast Asia's Green Economy 2025 Report | Bain & Company; Unlocking Systems for Growth and Impact Southeast Asia's Green Economy,Found 2 relevant variable(s): IPO proceeds (USD Million); Number of IPOs; Singapore Venture Funding Landscape 2023 Nine-Month Report. Relevant reports: Singapore Venture Funding Landscape 2023 Nine-Mo
14,China unicorn company count and valuation,factual,True,True,1,1,10,10,0,1,1,1,0,0,False,private_data_only,Top 10 fintech deals in ASPAC in H1 2023; www.chinaventure.com.cn 2021年中国创业投资及私募股权投 资市场统计分析报告 投中统计： 2022.01 投中研究院 1,Found 1 relevant variable(s): Top 10 fintech deals in ASPAC in H1 2023; www.chinaventure.com.cn 2021年中国创业投资及私募股权投 资市场统计分析报告 投中统计： 2022.01 投中研究院 1. Relevant reports: www.chinaventure.com.cn 2021年中国创业投资
15,India startup funding by sector,factual,True,True,0,2,3,1,0,0,0,0,0,0,False,no_variables_extracted,Global Entrepreneurship Congress 2025; The First Cheque Report 2024: Our year of backing ideas | Jungle Ventures,Relevant reports: Global Entrepreneurship Congress 2025; The First Cheque Report 2024: Our year of backing ideas | Jungle Ventures. 3 source link(s) available.
16,compare startup funding definitions across reports,comparison,True,True,10,8,10,0,0,10,10,5,5,0,False,good,Capital Invested by Stage Cohorts (% Share); Early-stage deals; Late-stage deals; Median pre-money valuations ($M) by stage in fintech in the Americas 2020-2023; Exit count Note,Found 10 relevant variable(s): Capital Invested by Stage Cohorts (% Share); Early-stage deals; Late-stage deals. Relevant reports: The New Economics of Starting Up: How Startups Are Scaling and Spendi
17,compare VC investment and startup funding definitions,comparison,True,True,10,0,5,0,0,10,10,6,4,0,False,good,PE exit count (#) by year; Median time for VC-backed companies to exit via public listing; Life Sciences VC exit count (#) by year; Southeast VC Deal Count; Maximum government investment share in private VC funds,Found 10 relevant variable(s): PE exit count (#) by year; Median time for VC-backed companies to exit via public listing; Life Sciences VC exit count (#) by year. 5 source link(s) available. 4 variabl
18,what data sources are private in our startup funding results?,meta,True,True,10,2,10,0,0,10,10,7,3,0,False,good,Median pre-money valuations ($M) by stage in fintech in the Americas 2020-2023; Venture capital investments by sector; Early-stage deals; Share of down rounds in late-stage or venture-growth companies YTD; Share of YTD VC deals that achieved a higher valuation than the previous round,Found 10 relevant variable(s): Median pre-money valuations ($M) by stage in fintech in the Americas 2020-2023; Venture capital investments by sector; Early-stage deals. Relevant reports: Unlocking Inv
19,what public datasets do we have for innovation metrics?,meta,True,True,10,1,9,0,0,10,10,0,10,0,False,good,Number of policy projects delivered by Open Innovation Team (OIT); business expenditure on R&D; Public expenditure on R&D target; gross expenditure on research and development as a percentage of GDP; value of equity investment into R&D-intensive businesses,Found 10 relevant variable(s): Number of policy projects delivered by Open Innovation Team (OIT); business expenditure on R&D; Public expenditure on R&D target. 9 source link(s) available. 10 variable
20,what organizations are relevant to Singapore's startup ecosystem?,organization,True,True,10,10,10,0,0,10,10,1,9,0,False,good,Top 10 global startup ecosystems ranking; Tech jobs as % of total employment; Deal count by vertical under Smart Nation and Digital Economy theme; Deal value by vertical under Smart Nation and Digital Economy theme; Venture funding deal value by top 10 global startup ecosystems,Found 10 relevant variable(s): Top 10 global startup ecosystems ranking; Tech jobs as % of total employment; Deal count by vertical under Smart Nation and Digital Economy theme. Relevant reports: Key 
